ProductCategory,InventoryTurnover,AvgLeadTime,FillRate
Accessories,44482.2,3.5,45.17
As Seen on  TV!,6799.32,3.63,45.17
Baby ,12229.56,3.15,45.17
Baseball & Softball,33302.03,3.47,45.17
Basketball,27099.33,3.46,45.17
Books ,12587.4,3.39,45.17
Boxing & MMA,28491.61,3.47,45.17
CDs ,3059.59,3.45,45.17
Cameras ,267607.69,3.34,45.17
Camping & Hiking,4118425.57,3.5,45.17
Cardio Equipment,1227485.75,3.5,45.17
Children's Clothing,232829.2,3.61,45.17
Cleats,1475691.37,3.51,45.17
Computers,663000.0,3.62,45.17
Consumer Electronics,108991.28,3.43,45.17
Crafts,223356.33,3.58,45.17
DVDs,79395.54,3.64,45.17
Electronics,124097.64,3.49,45.17
Fishing,6929653.69,3.5,45.17
Fitness Accessories,12851.45,3.57,45.17
Garden,257768.73,3.5,45.17
Girls' Apparel,50400.87,3.51,45.17
Golf Apparel,15045.52,3.53,45.17
Golf Bags & Carts,10369.39,3.34,45.17
Golf Balls,25939.73,3.51,45.17
Golf Gloves,42169.56,3.55,45.17
Golf Shoes,39190.41,3.47,45.17
Health and Beauty,106080.48,3.46,45.17
Hockey,17354.46,3.42,45.17
Hunting & Shooting,20188.3,3.43,45.17
Indoor/Outdoor Games,964514.03,3.5,45.17
Kids' Golf Clubs,58819.02,3.63,45.17
Lacrosse,13258.0,3.62,45.17
Men's Clothing,43856.8,3.42,45.17
Men's Footwear,2891757.66,3.5,45.17
Men's Golf Clubs,31693.17,3.45,45.17
Music,113122.1,3.48,45.17
Pet Supplies,41524.8,3.39,45.17
Shop By Sport,439521.79,3.49,45.17
Soccer,12385.87,3.71,45.17
Sporting Goods,117006.75,3.49,45.17
Strength Training,54895.53,3.75,45.17
Tennis & Racquet,14756.72,3.54,45.17
Toys,6104.66,3.52,45.17
Trade-In,23719.0,3.57,45.17
Video Games,33310.5,3.59,45.17
Water Sports,3113844.68,3.48,45.17
Women's Apparel,1051750.0,3.48,45.17
Women's Clothing,140283.0,3.54,45.17
Women's Golf Clubs,20007.0,3.56,45.17
